"Category","All India"
"06-01-2023 : 33",187757
"06-01-2023 : 34",190538
"06-01-2023 : 35",192530
"06-01-2023 : 36",194607
"06-01-2023 : 37",194917
"06-01-2023 : 38",197714
"06-01-2023 : 39",198422
"06-01-2023 : 40",199722
"06-01-2023 : 41",200994
"06-01-2023 : 42",201763
"06-01-2023 : 43",202223
"06-01-2023 : 44",202978
"06-01-2023 : 45",203572
"06-01-2023 : 46",202432
"06-01-2023 : 47",202654
"06-01-2023 : 48",202657
"06-01-2023 : 49",201762
"06-01-2023 : 50",201400
"06-01-2023 : 51",201984
"06-01-2023 : 52",201457
"06-01-2023 : 53",200142
"06-01-2023 : 54",197623
"06-01-2023 : 55",197897
"06-01-2023 : 56",197127
"06-01-2023 : 57",195903
"06-01-2023 : 58",194298
"06-01-2023 : 59",194537
"06-01-2023 : 60",194237
"06-01-2023 : 61",192968
"06-01-2023 : 62",191363
"06-01-2023 : 63",189691
"06-01-2023 : 64",189169
"06-01-2023 : 65",189246
"06-01-2023 : 66",187407
"06-01-2023 : 67",188104
"06-01-2023 : 68",187322
"06-01-2023 : 69",186758
"06-01-2023 : 70",183624
"06-01-2023 : 71",184309
"06-01-2023 : 72",184921
"06-01-2023 : 73",186017
"06-01-2023 : 74",185532
"06-01-2023 : 75",186730
"06-01-2023 : 76",186679
"06-01-2023 : 77",185099
"06-01-2023 : 78",183224
"06-01-2023 : 79",182072
"06-01-2023 : 80",180568
"06-01-2023 : 81",178211
"06-01-2023 : 82",176466
"06-01-2023 : 83",175523
"06-01-2023 : 84",173901
"06-01-2023 : 85",171742
"06-01-2023 : 86",170740
"06-01-2023 : 87",169017
"06-01-2023 : 88",166353
"06-01-2023 : 89",163375
"06-01-2023 : 90",162920
"06-01-2023 : 91",161598
"06-01-2023 : 92",159395
"06-01-2023 : 93",156856
"06-01-2023 : 94",154601
"06-01-2023 : 95",152370
"06-01-2023 : 96",150697
"07-01-2023 : 1",148892
"07-01-2023 : 2",147256
"07-01-2023 : 3",145894
"07-01-2023 : 4",144098
"07-01-2023 : 5",143021
"07-01-2023 : 6",141845
"07-01-2023 : 7",140331
"07-01-2023 : 8",139415
"07-01-2023 : 9",138929
"07-01-2023 : 10",137905
"07-01-2023 : 11",138172
"07-01-2023 : 12",137736
"07-01-2023 : 13",136932
"07-01-2023 : 14",136860
"07-01-2023 : 15",136937
"07-01-2023 : 16",136907
"07-01-2023 : 17",137173
"07-01-2023 : 18",138673
"07-01-2023 : 19",140560
"07-01-2023 : 20",142086
"07-01-2023 : 21",144381
"07-01-2023 : 22",147891
"07-01-2023 : 23",151091
"07-01-2023 : 24",154377
"07-01-2023 : 25",157793
"07-01-2023 : 26",160044
"07-01-2023 : 27",164605
"07-01-2023 : 28",168411
"07-01-2023 : 29",173983
"07-01-2023 : 30",176853
"07-01-2023 : 31",181552
"07-01-2023 : 32",184598
"07-01-2023 : 33",186924
"07-01-2023 : 34",189913
"07-01-2023 : 35",192305
"07-01-2023 : 36",192254
"07-01-2023 : 37",193509
"07-01-2023 : 38",195677
"07-01-2023 : 39",196870
"07-01-2023 : 40",198529
"07-01-2023 : 41",199855
"07-01-2023 : 42",201224
"07-01-2023 : 43",202774
"07-01-2023 : 44",203174
"07-01-2023 : 45",203474
"07-01-2023 : 46",202750
"07-01-2023 : 47",202477
"07-01-2023 : 48",202034
"07-01-2023 : 49",202250
"07-01-2023 : 50",201970
"07-01-2023 : 51",201199
"07-01-2023 : 52",200017
"07-01-2023 : 53",199461
"07-01-2023 : 54",196556
"07-01-2023 : 55",196522
"07-01-2023 : 56",195894
"07-01-2023 : 57",193853
"07-01-2023 : 58",192693
"07-01-2023 : 59",193459
"07-01-2023 : 60",193152
"07-01-2023 : 61",192367
"07-01-2023 : 62",189855
"07-01-2023 : 63",189903
"07-01-2023 : 64",189036
"07-01-2023 : 65",188022
"07-01-2023 : 66",185717
"07-01-2023 : 67",186634
"07-01-2023 : 68",186761
"07-01-2023 : 69",186878
"07-01-2023 : 70",185175
"07-01-2023 : 71",184867
"07-01-2023 : 72",186229
"07-01-2023 : 73",186267
"07-01-2023 : 74",185525
"07-01-2023 : 75",186748
"07-01-2023 : 76",186541
"07-01-2023 : 77",184754
"07-01-2023 : 78",183716
"07-01-2023 : 79",181937
"07-01-2023 : 80",180155
"07-01-2023 : 81",178263
